0,2,5,9,2,0,2
1,2,5,9,2,0,2
2,2,5,9,1,0,1
3,2,8,18,2,0,2
4,2,6,9,1,0,1
5,2,5,9,1,0,1
6,2,4,16,2,0,2
7,2,4,16,1,0,1
8,2,8,18,2,0,2
9,3,7,16,1,0,1
10,2,8,10,2,0,2
11,2,5,9,1,0,1
12,3,7,16,2,0,2
13,3,7,16,1,0,1
14,3,7,16,1,0,1
15,2,5,16,1,0,1
16,2,5,9,2,0,2
17,2,10,18,2,0,2
18,2,5,9,2,0,2
19,2,5,9,1,0,1
20,2,5,9,1,0,1
21,2,5,9,1,0,1
22,2,10,18,2,0,2
23,3,7,15,2,0,2
24,2,5,9,1,0,1
25,2,5,9,1,0,1
26,3,7,15,1,0,1
27,2,8,18,2,0,2
28,2,8,18,2,0,2
29,2,8,18,2,0,2
30,2,5,9,1,0,1
31,1,10,10,2,0,2
32,2,5,9,2,0,2
33,3,7,19,1,0,1
34,2,5,9,1,0,1
35,2,5,9,1,0,1
36,2,5,9,1,0,1
37,2,5,16,2,0,2
38,2,9,18,2,0,2
39,2,5,9,2,0,2
40,2,8,18,2,0,2
41,2,5,9,1,0,1
42,3,7,16,2,0,2
43,1,10,10,2,0,2
44,3,7,19,1,0,1
45,3,7,15,1,0,1
46,3,7,19,1,0,1
47,3,7,19,1,0,1
48,2,5,9,1,0,1
49,2,5,9,2,0,2
50,3,7,16,1,0,1
51,2,4,16,1,0,1
52,3,7,15,1,0,1
53,3,7,15,1,0,1
54,2,5,9,1,0,1
55,3,7,19,1,0,1
56,2,5,9,1,0,1
57,3,7,15,1,0,1
58,3,7,15,1,0,1
59,2,6,9,4,0,1
60,3,7,19,1,0,1
61,3,7,15,1,0,1
62,3,7,9,4,0,1
63,3,7,19,1,0,1
64,2,8,18,2,0,2
65,2,8,18,2,0,2
66,2,5,16,1,0,1
67,3,7,19,1,2,1
68,2,8,18,2,0,2
69,3,7,19,1,2,1
70,1,10,10,2,0,2
71,3,7,19,1,0,1
72,2,8,18,2,0,2
73,2,5,9,1,0,1
74,2,5,16,1,0,1
75,3,7,19,1,2,1
76,2,8,18,2,0,2
77,2,5,9,1,0,1
78,2,5,9,2,0,2
79,2,8,18,2,0,2
80,2,5,9,2,0,2
81,2,10,16,1,0,1
82,3,7,19,1,0,1
83,2,10,16,1,0,1
84,3,7,19,1,0,1
85,3,7,19,1,2,1
86,3,7,19,1,0,1
87,3,7,19,3,0,1
88,3,7,19,1,2,1
89,2,6,9,2,0,2
90,2,5,9,2,0,2
91,2,10,16,1,0,1
92,3,7,19,3,2,1
93,2,5,9,2,0,2
94,2,10,16,1,0,1
95,2,10,16,1,0,1
96,2,5,9,2,0,2
97,2,5,9,1,0,1
98,2,5,16,1,0,1
99,2,8,18,2,0,2
100,2,5,9,1,0,1
101,2,10,16,1,0,1
102,2,10,16,1,0,1
103,3,7,15,1,0,1
104,2,10,16,1,0,1
105,2,10,16,1,0,1
106,2,5,16,1,0,1
107,2,5,9,1,0,2
108,3,7,15,1,0,1
109,3,7,15,1,0,1
110,2,10,18,2,0,2
111,3,7,19,1,0,1
112,2,10,17,3,0,1
113,2,5,9,1,0,1
114,2,6,16,1,0,1
115,2,5,9,1,0,1
116,2,5,9,1,0,1
117,2,5,9,2,0,2
118,2,5,9,2,2,2
119,2,5,9,1,0,1
120,3,7,19,1,0,1
121,3,7,15,1,0,1
122,3,7,19,1,2,1
123,3,7,15,1,0,1
124,2,9,18,2,0,2
125,2,5,9,1,0,2
126,3,7,15,1,0,1
127,3,7,15,1,0,1
128,2,5,9,2,0,2
129,2,5,9,2,0,2
130,3,7,19,1,1,1
131,3,7,15,1,0,1
132,2,8,18,2,0,2
133,3,7,15,1,0,1
134,2,10,18,2,0,2
135,3,7,16,1,0,1
136,2,10,18,2,0,2
137,2,5,16,1,2,1
138,3,7,16,1,2,1
139,3,7,9,1,0,1
140,3,7,19,1,1,1
141,3,7,16,1,0,1
142,2,5,9,2,2,2
143,3,7,19,1,2,1
144,2,4,16,1,0,1
145,2,5,9,1,2,1
146,2,4,16,1,0,1
147,2,8,18,2,0,2
148,2,10,16,1,0,1
149,2,5,9,1,2,1
150,2,5,16,1,4,1
151,3,7,19,1,0,1
152,3,7,19,1,2,1
153,2,5,9,1,1,1
154,3,7,19,1,0,1
155,3,7,19,1,2,1
156,3,7,15,1,2,1
157,2,5,9,2,0,2
158,2,10,18,2,2,2
159,3,7,15,1,2,1
160,3,7,19,1,2,1
161,3,7,19,1,2,1
162,3,7,16,1,4,1
163,2,10,18,2,1,2
164,3,7,19,1,2,1
165,2,5,9,2,2,2
166,3,7,15,1,2,1
167,3,7,15,1,2,1
168,2,5,9,2,2,2
169,2,5,9,2,2,2
170,2,5,9,1,2,1
171,3,7,19,1,0,1
172,2,5,9,2,0,2
173,2,5,9,2,2,2
174,3,7,15,1,0,1
175,2,5,9,2,2,1
176,2,5,4,1,0,1
177,2,4,9,1,2,1
178,2,5,16,1,2,1
179,2,5,9,1,2,1
180,2,5,9,1,2,1
181,2,5,9,1,0,1
182,3,7,15,1,0,1
183,3,7,19,1,0,1
184,2,8,18,2,2,2
185,3,7,19,1,2,1
186,3,7,15,1,2,1
