0,1,9,1,1,1,2,2,2,1
1,1,5,1,1,3,1,2,2,1
2,1,3,2,1,1,2,2,2,1
3,1,3,1,1,1,2,2,1,1
4,2,2,1,1,1,1,1,5,1
5,1,8,1,1,3,1,1,3,1
6,1,4,1,6,2,2,2,2,1
7,1,2,1,2,2,2,2,2,1
8,2,5,1,1,2,2,2,2,1
9,2,5,1,1,2,1,1,2,1
10,2,5,1,1,3,2,2,2,1
11,1,10,1,1,3,1,2,2,1
12,2,1,2,1,1,2,2,2,1
13,2,7,2,1,1,1,1,4,1
14,2,7,1,1,1,1,1,2,1
15,2,2,1,2,2,2,2,1,1
16,1,5,1,1,3,1,2,2,1
17,1,5,1,1,3,2,2,2,1
18,1,5,1,1,3,1,1,2,1
19,2,1,2,2,2,1,1,3,1
20,2,1,1,2,2,1,1,3,1
21,1,7,2,1,1,2,2,2,1
22,1,7,2,1,1,2,2,2,1
23,1,5,1,1,3,2,2,2,1
24,1,5,1,1,1,1,1,2,1
25,1,5,1,1,3,2,2,2,1
26,1,5,1,1,3,2,2,2,1
27,1,9,1,1,1,2,2,2,1
28,1,5,1,1,3,2,2,2,1
29,1,5,1,1,3,2,2,2,1
30,1,5,1,1,3,2,2,2,1
31,2,7,2,1,1,2,2,2,1
32,2,7,2,1,1,2,2,2,1
33,2,1,3,1,1,2,2,2,1
34,1,5,1,1,3,2,2,2,1
35,1,2,1,2,2,2,2,2,1
36,2,5,1,1,3,2,2,2,1
37,2,2,1,3,2,2,2,2,1
38,1,2,1,2,2,2,2,2,1
39,2,5,1,1,3,1,1,1,1
40,2,2,1,2,2,2,2,2,1
41,2,2,1,3,2,2,2,2,1
42,1,2,1,2,2,2,2,2,1
43,2,7,2,1,1,1,1,2,1
44,1,5,1,1,3,1,2,2,1
45,1,7,2,1,1,2,2,2,1
46,2,2,1,2,2,2,2,2,1
47,2,2,1,1,2,1,2,1,1
48,2,2,1,3,2,2,2,2,1
49,2,3,1,1,1,1,1,1,1
50,2,2,1,3,2,2,2,2,1
